テーマ,テーマ別ランキング,シナリオ名,URL,販売価格,プレイ人数,タグ1,タグ2,タグ3
初心者/短編クローズ系,1,ベトレイヤー・リボルヴ,https://booth.pm/ja/items/3884230,有料,2人,短編,謎解き,秘匿
初心者/短編クローズ系,2,この病院は渇いている,https://www.amazon.co.jp/%E3%82%AF%E3%83%88%E3%82%A5%E3%83%AB%E3%83%95%E7%A5%9E%E8%A9%B1TRPG-%E3%82%B7%E3%83%8A%E3%83%AA%E3%82%AA%E9%9B%86-%E3%82%A2%E3%82%AB%E3%82%B7%E3%83%83%E3%82%AF13-%E3%83%AD%E3%82%B0%E3%82%A4%E3%83%B3%E3%83%86%E3%83%BC%E3%83%96%E3%83%AB%E3%83%88%E3%83%BC%E3%82%AFRPG%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA-%E9%9D%96%E4%BA%8C%E9%83%8E/dp/404735080X,有料,3-4人,短編,ホラー,クローズド
初心者/短編クローズ系,3,無能警察だ！叩きのめせ,https://booth.pm/ja/items/6873812,無料,4人,短編,ギャグ,クローズド
初心者/短編クローズ系,4,犬が伸びるシナリオ（いいえ、これはｲｯﾇです。）,https://booth.pm/ja/items/1136063,無料,1-4人,短編,脱出,クローズド
初心者/短編クローズ系,5,ようこそ！迷冥市役所都市伝説課へ！,https://sabaku-yozora.booth.pm/items/2432227,無料,2人,短編,都市伝説,秘匿
初心者/短編クローズ系,6,組織壊滅RTA,https://www.pixiv.net/novel/show.php?id=20472411,無料,1人,短編,PvP,タイマン
初心者/短編クローズ系,7,白き微睡みにて,https://booth.pm/ja/items/6808530,有料,1-3人,短編,現代日本,ショートショート
初心者/短編クローズ系,8,レモン症候群,https://booth.pm/ja/items/3401606,有料,3人,長編,演劇,シティ
初心者/短編クローズ系,9,ライムライト,https://booth.pm/ja/items/4016985,有料,4人,中編,SF,クローズド
初心者/短編クローズ系,10,a/i SPLL:E108178,https://booth.pm/ja/items/3384569,有料,1-2人,短編,PvP,秘匿
中編／シティ系,1,鏡鏡鏡,https://www.pixiv.net/novel/show.php?id=22314451,無料,4-5人,中編,RP重視,秘匿
中編／シティ系,2,VOID,https://booth.pm/ja/items/2907962,無料,4人,中編,SF,秘匿
中編／シティ系,3,かいぶつたちとマホラカルト,https://booth.pm/ja/items/1715406,有料,4人,中編,協力,秘匿
